origin,destination,route,raw_aircraft_type,openap_type,year,number_of_trips,total_distance_km,total_fuel_kg,total_energy_mwh,total_co2_kg,total_nox_kg,average_flight_distance_km,average_fuel_kg_per_flight,fuel_kg_per_km,energy_mwh_per_km,co2_kg_per_km
DAAG,EDDF,DAAG-EDDF,A21N,A21N,2025,2,3086.3017629102033,10030.255314519223,119.80582736786847,31695.606793880743,0.0,1543.1508814551016,5015.127657259612,3.2499269627676575,0.038818572055280345,10.269769202345795
DAAG,EDDF,DAAG-EDDF,A21N,A21N,2026,11,16974.659696006118,55166.404229855725,658.9320505232766,174325.8373663441,0.0,1543.1508814551016,5015.127657259612,3.249926962767657,0.038818572055280345,10.269769202345797
DAAG,EDDF,DAAG-EDDF,A319,A319,2025,1,1543.1508814551016,5479.668778067451,65.45159929358344,17315.753338693146,0.0,1543.1508814551016,5479.668778067451,3.5509611172307673,0.042414257789145274,11.221037130449226
DAAG,EDDF,DAAG-EDDF,A319,A319,2026,1,1543.1508814551016,5479.668778067451,65.45159929358344,17315.753338693146,0.0,1543.1508814551016,5479.668778067451,3.5509611172307673,0.042414257789145274,11.221037130449226
DAAG,EDDF,DAAG-EDDF,A320,A320,2025,4,6172.6035258204065,23529.76694754435,281.04999409566864,74354.06355424016,0.0,1543.1508814551016,5882.441736886088,3.8119679725285756,0.04553183967186909,12.0458187931903
DAAG,EDDF,DAAG-EDDF,A320,A320,2026,5,7715.754407275508,29412.20868443044,351.3124926195858,92942.5794428002,0.0,1543.1508814551016,5882.441736886088,3.8119679725285756,0.04553183967186909,12.0458187931903
DAAG,EDDF,DAAG-EDDF,A321,A321,2025,9,13888.357933095915,61978.732648804646,740.3015288607221,195852.7951702227,0.0,1543.1508814551016,6886.525849867183,4.462639352137485,0.053303747817197725,14.101940352754452
DAAG,EDDF,DAAG-EDDF,A321,A321,2026,7,10802.056170185711,48205.68094907028,575.790078002784,152329.95179906208,0.0,1543.1508814551016,6886.525849867183,4.462639352137485,0.05330374781719774,14.10194035275445
DAAG,EDFZ,DAAG-EDFZ,A321,A321,2026,1,1527.8517477802195,6829.053706782667,81.56925260879297,21579.809713433227,0.0,1527.8517477802195,6829.053706782667,4.469709653900938,0.05338819864381675,14.124282506326962
DTMB,EDDB,DTMB-EDDB,A320,A320,2025,1,1859.9903381376907,6896.2686617831705,82.37209790463231,21792.20897123482,0.0,1859.9903381376907,6896.2686617831705,3.7076905833220817,0.044286304189680416,11.716302243297779
DTMB,EDDF,DTMB-EDDF,A320,A320,2026,3,4792.888380136892,18172.39077117707,217.05911198905943,57424.75483691954,0.0,1597.6294600456306,6057.463590392356,3.7915322306458634,0.045287746088270034,11.981241848840929
DTMB,EDDL,DTMB-EDDL,A20N,A20N,2026,1,1755.3553973838086,3937.6728395162354,47.03331447199948,12443.046172871303,0.0,1755.3553973838086,3937.6728395162354,2.243233960134207,0.02679418341271414,7.088619314024093
DTMB,EDDL,DTMB-EDDL,A320,A320,2025,1,1755.3553973838086,6562.541592165167,78.38591346197283,20737.631431241927,0.0,1755.3553973838086,6562.541592165167,3.7385828544726696,0.04465529520620134,11.813921820133636
DTMB,EDDM,DTMB-EDDM,A320,A320,2026,5,7022.779756081346,27179.27454920455,324.64133489327656,85886.5075754864,0.0,1404.5559512162692,5435.85490984091,3.870159038615553,0.04622689962790799,12.22970256202515
DTMB,EPKT,DTMB-EPKT,A320,A320,2025,1,1767.8596227407077,6602.478633060113,78.86293922821802,20863.83248046996,0.0,1767.8596227407077,6602.478633060113,3.734730149458535,0.04460927678519918,11.801747272288972
DTTA,EDDF,DTTA-EDDF,A20N,A20N,2026,9,13259.463662347162,30622.499940629095,365.76874929084755,96767.09981238794,0.0,1473.2737402607956,3402.499993403233,2.3094825492517974,0.027585486004952024,7.297964855635679
